Luchthavens,Perioden,Overlandbewegingen,Terreinbewegingen,Totaal Vluchten,Geregelde vluchten,Aantal passagiers,Goederenvervoer (ton),Postvervoer(ton)
Totaal luchthavens van nationaal belang,2021-04,46250,14508,40663,38151,2106091,443523,3891
Totaal luchthavens van nationaal belang,2021-07,63740,26902,53579,51214,3857879,455910,3608
Totaal luchthavens van nationaal belang,2021-10,118352,24863,106460,102727,12007816,423571,3029
Totaal luchthavens van nationaal belang,2021-12,111946,17727,102360,99362,11097749,472294,3021
Totaal luchthavens van nationaal belang,2022-01,31964,5212,29604,28750,2831598,131588,827
Totaal luchthavens van nationaal belang,2022-02,30459,5779,27456,26599,3040193,126020,824
Totaal luchthavens van nationaal belang,2022-03,39107,9705,34568,33635,4241663,137570,819
Totaal luchthavens van nationaal belang,2022-04,101530,20696,91628,88984,10113454,395177,2470
Totaal luchthavens van nationaal belang,2022-04,43239,7408,38824,37560,5140272,126658,688
Totaal luchthavens van nationaal belang,2022-05,49637,7906,44823,42987,6091195,128112,685
Totaal luchthavens van nationaal belang,2022-06,48847,9017,43248,41393,6118070,125858,667
Totaal luchthavens van nationaal belang,2022-07,141723,24331,126895,121940,17349537,380628,2041
Totaal luchthavens van nationaal belang,2022-07,48364,8659,43218,41260,6211931,130029,584
Totaal luchthavens van nationaal belang,2022-08,49173,9175,44862,42970,6378969,125037,549
Totaal luchthavens van nationaal belang,2022-09,47989,8324,43523,41847,6108567,130738,538
Totaal luchthavens van nationaal belang,2022-10,145526,26158,131603,126077,18699467,385804,1671
Totaal luchthavens van nationaal belang,2022-10,47117,7661,42909,41366,5854649,135512,465
Totaal luchthavens van nationaal belang,2022-11,37876,5771,34597,33820,4570458,128395,461
Totaal luchthavens van nationaal belang,2022-12,37591,4447,34968,34327,4680493,120439,608
Totaal luchthavens van nationaal belang,2022-12,122584,17879,112474,109513,15105600,384347,1533
Totaal luchthavens van nationaal belang,2023-01,37038,6455,34322,33553,4480014,109114,478
Totaal luchthavens van nationaal belang,2023-02,35573,6982,32416,31673,4348644,113147,440
Totaal luchthavens van nationaal belang,2023-03,41983,7044,38044,37109,5276851,125407,457
Totaal luchthavens van nationaal belang,2023-04,114594,20481,104782,102335,14105509,347668,1375
Totaal luchthavens van nationaal belang,2023-04,45722,7939,41609,40550,5912774,116129,430
Totaal luchthavens van nationaal belang,2023-05,49828,8198,45469,44214,6514881,118281,471
Totaal luchthavens van nationaal belang,2023-06,49260,8501,44638,43355,6539439,112994,447
Totaal luchthavens van nationaal belang,2023-07,144810,24638,131716,128119,18967094,347405,1349
Totaal luchthavens van nationaal belang,2023-07,51665,7131,47556,45884,6991247,115703,407
Totaal luchthavens van nationaal belang,2023-08,51960,8675,48111,46471,7061633,112120,454
Amsterdam Airport Schiphol,2021-04,39169,1333,37538,36054,2034499,411565,3891
Amsterdam Airport Schiphol,2021-07,51611,1307,48491,47275,3571657,426105,3608
Amsterdam Airport Schiphol,2021-10,95434,1358,91007,89230,10187129,394753,3029
Amsterdam Airport Schiphol,2021-12,94125,1245,89920,88495,9697525,434880,3021
